protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,requested_count,generated_count,outer_count,inner_count,outer_area_m2,inner_area_m2,outer_share,inner_share,raw_density_ratio,observation_status,interpretation
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n500-per-center,2026090604,900,900,191,158,53721.23437638546,48066.36759992383,0.21222222222222223,0.17555555555555555,1.081612258494337,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n500-per-center,2026090605,900,900,165,162,53721.23437638546,48066.36759992383,0.18333333333333332,0.18,0.9113060428849903,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n5000-per-center,,45000,45000,8535,7627,53721.23437638546,48066.36759992383,0.18966666666666668,0.16948888888888888,1.0012559259693747,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n5000-per-center,2026090601,9000,9000,1700,1491,53721.23437638546,48066.36759992383,0.18888888888888888,0.16566666666666666,1.0201560238624732,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n5000-per-center,2026090602,9000,9000,1726,1473,53721.23437638546,48066.36759992383,0.19177777777777777,0.16366666666666665,1.048415335691571,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n5000-per-center,2026090603,9000,9000,1709,1574,53721.23437638546,48066.36759992383,0.18988888888888888,0.1748888888888889,0.9714772955259814,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n5000-per-center,2026090604,9000,9000,1722,1537,53721.23437638546,48066.36759992383,0.19133333333333333,0.17077777777777778,1.0024312570626306,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-grid-equal-n5000-per-center,2026090605,9000,9000,1678,1552,53721.23437638546,48066.36759992383,0.18644444444444444,0.17244444444444446,0.9673765599565926,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n500,,500,500,103,79,53721.23437638546,48066.36759992383,0.206,0.158,1.16655562958028,inner-observed,descriptive-only
E001-v2,confirmation,B,b-disk-r300,confirmation-single-n500,2026090601,100,100,17,15,53721.23437638546,48066.36759992383,0.17,0.15,1.0140350877192983,inner-observed,descriptive-only
