protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,hotspot50,cv,0.9555117302611552,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,hotspot50,max,29.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,hotspot50,p99,23.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,neighbors10,value,1.7044444444444444,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,proximity16,value,0.9891111111111112,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,proximity24,value,1.0,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,proximity8,value,0.6695555555555556,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,max.max,210.5794193366978,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,max.median,207.2813418918365,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,max.min,205.69679853942492,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p50.max,122.12505110690452,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p50.median,117.7981130307311,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p50.min,114.75573326556024,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p95.max,181.71566125789218,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p95.median,178.15602273160022,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p95.min,176.69365634465652,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p99.max,200.42330335854152,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p99.median,197.5036527994435,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,p99.min,192.79101039634938,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,violations.max,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,violations.median,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,radius,violations.min,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,samplerFailureCount,value,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,seam300,max,0.42785380688606495,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,seam300,median,0.2981148932368445,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,seam300,min,0.20114942528735633,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,a4,value,0.13170534211699425,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,radius,max,206.60083297964175,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,radius,p50,122.12505110690452,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,radius,p95,181.71566125789218,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,radius,p99,200.42330335854152,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,seam300,value,0.2981148932368445,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,a4,value,0.12624851832409162,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,radius,max,208.57173015569617,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,radius,p50,114.75573326556024,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,radius,p95,176.69365634465652,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,radius,p99,192.79101039634938,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,seam300,value,0.20114942528735633,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,a4,value,0.12171242925574631,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,radius,max,207.2813418918365,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,radius,p50,116.83966854582161,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,radius,p95,178.15602273160022,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,radius,p99,195.75711376534744,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,seam300,value,0.37596525096525096,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,a4,value,0.12009740460215668,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,radius,max,205.69679853942492,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,radius,p50,117.7981130307311,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,radius,p95,177.59972724038704,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,radius,p99,197.5036527994435,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,seam300,value,0.42785380688606495,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,a4,value,0.13099095610669234,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,radius,max,210.5794193366978,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,radius,p50,118.90433650586485,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,radius,p95,179.7204431942845,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,radius,p99,198.6680374348204,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,radius,violations,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,seam300,value,0.25660606619908943,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,a4,max,0.14975567375310322,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,a4,median,0.1406528152970343,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,a4,min,0.13638514142386746,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,hotspot50,cv,0.890240057512579,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,hotspot50,max,180.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,hotspot50,p99,165.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,neighbors10,value,17.3352,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,proximity16,value,1.0,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,proximity24,value,1.0,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,proximity8,value,0.9999555555555556,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,max.max,211.44624808501123,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,max.median,211.32271383953477,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,max.min,209.64036846861063,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p50.max,120.36035129448112,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p50.median,119.24577599787803,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p50.min,119.08357724574597,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p95.max,180.68919752120001,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p95.median,179.11685045150176,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p95.min,178.34768602831105,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p99.max,199.50060017748916,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p99.median,197.09095655741152,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,p99.min,196.89268405067926,m,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,violations.max,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,violations.median,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,radius,violations.min,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,samplerFailureCount,value,0.0,count,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,seam300,max,0.12783330978064597,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,seam300,median,0.0766169972147759,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,seam300,min,0.07401949423040491,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,a4,value,0.1482993472789436,ratio,valid
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,radius,max,211.44624808501123,m,valid
