parameter_set_id,sample_seed,n,outer_count,inner_count,edge_ratio30
d-s120-r300,2026090301,100,0,1,0.2982456140350877
d-s120-r300,2026090302,100,0,0,0.8947368421052633
d-s120-r300,2026090303,100,0,0,0.8947368421052633
d-s120-r300,2026090304,100,0,0,0.8947368421052633
d-s120-r300,2026090305,100,0,0,0.8947368421052633
d-s100-r300,2026090301,100,0,0,0.8947368421052633
d-s100-r300,2026090302,100,0,0,0.8947368421052633
d-s100-r300,2026090303,100,0,0,0.8947368421052633
d-s100-r300,2026090304,100,0,0,0.8947368421052633
d-s100-r300,2026090305,100,0,0,0.8947368421052633
