protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,seam300,value,0.7214633760202646,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,a4,value,0.11583781183753011,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,edgeRatio30,value,1.106280193236715,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,max,206.85892031610385,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,p50,123.22271391722018,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,p95,178.07143528296413,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,p99,193.80050385955116,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,seam300,value,0.7440468028703323,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,a4,value,0.12247419121435522,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,edgeRatio30,value,1.0396988364134154,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,max,208.51778385695874,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,p50,119.94440089761572,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,p95,179.3770088250291,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,p99,193.60544388624598,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,seam300,value,0.5059995644599303,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,a4,value,0.14629971388598784,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,edgeRatio30,value,0.9293913796837774,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,max,205.14957497792403,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,p50,117.05382730641242,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,p95,181.0378034547203,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,p99,195.6174802980131,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,seam300,value,0.7460289166171519,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,a4,max,0.23675654693111392,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,a4,median,0.15991714292637133,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,a4,min,0.05053573559532011,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,edgeRatio30,max,1.2962962962962963,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,edgeRatio30,median,1.0634920634920635,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,edgeRatio30,min,0.7101449275362318,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,hotspot50,cv,1.8756716130495785,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,hotspot50,max,30.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,hotspot50,p99,25.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,neighbors10,value,1.692,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,proximity16,value,0.982,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,proximity24,value,0.996,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,proximity8,value,0.66,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,max.max,206.32238913440983,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,max.median,202.9105473291926,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,max.min,186.20996770747496,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p50.max,123.48198026842498,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p50.median,115.22137679005537,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p50.min,109.86332769272876,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p95.max,184.59818059237278,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p95.median,178.2775623549276,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p95.min,168.7049186261389,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p99.max,200.9986664405978,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p99.median,197.66134339490443,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,p99.min,175.61270147549598,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,violations.max,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,violations.median,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,radius,violations.min,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,samplerFailureCount,value,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,seam300,max,1.6628787878787878,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,seam300,median,1.6166666666666667,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,,seam300,min,1.4916666666666665,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,a4,value,0.23675654693111392,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,edgeRatio30,value,1.2962962962962963,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,radius,max,206.32238913440983,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,radius,p50,115.06810985981447,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,radius,p95,183.0466294414464,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,radius,p99,200.08570123446177,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090301,seam300,value,1.6166666666666667,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,a4,value,0.05053573559532011,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,edgeRatio30,value,0.7101449275362318,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,radius,max,206.1287588548598,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,radius,p50,115.22137679005537,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,radius,p95,172.67703369673097,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,radius,p99,194.62773687284138,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090302,seam300,value,1.5654761904761905,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,a4,value,0.1736614736832057,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,edgeRatio30,value,1.0606060606060606,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,radius,max,202.9105473291926,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,radius,p50,118.14548814793748,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,radius,p95,184.59818059237278,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,radius,p99,200.9986664405978,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090303,seam300,value,1.6333333333333333,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,a4,value,0.11674475202060755,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,edgeRatio30,value,1.2352941176470589,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,radius,max,197.9788769881956,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,radius,p50,123.48198026842498,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,radius,p95,178.2775623549276,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,radius,p99,197.66134339490443,m,valid
E001-v1,tuning,A,a-square-300,tuning-single-n500,2026090304,radius,violations,0.0,count,valid
